County,tract,pct_no_vehicle,pct_fewer_vehicles
Guilford County,10100,20.588235294117645,43.962848297213625
Guilford County,10200,15.57632398753894,38.13974187805964
Guilford County,10300,9.969481180061038,47.30417090539166
Guilford County,10401,1.335113484646195,20.560747663551403
Guilford County,10403,4.353233830845771,19.029850746268657
Guilford County,10404,0.0,7.917888563049853
Guilford County,10500,4.867256637168142,26.72566371681416
Guilford County,10601,1.450381679389313,17.709923664122137
Guilford County,10602,6.825297432686287,34.62742642454602
Guilford County,10701,12.388250319284802,30.395913154533844
Guilford County,10702,8.55397148676171,24.643584521384927
Guilford County,10800,23.694779116465863,30.65595716198126
Guilford County,10900,19.45288753799392,39.00709219858156
Guilford County,11000,22.105263157894736,56.99248120300752
Guilford County,11101,23.67802585193889,57.050528789659225
Guilford County,11102,7.093596059113301,44.23645320197044
Guilford County,11201,29.0133779264214,41.38795986622073
Guilford County,11202,14.681014604150652,47.96310530361261
Guilford County,11300,8.586147681740126,41.213508872352605
Guilford County,11400,29.485887096774192,55.04032258064516
Guilford County,11500,17.906574394463668,47.49134948096886
Guilford County,11601,9.917355371900827,42.24058769513315
Guilford County,11602,11.560693641618498,28.90173410404624
Guilford County,11904,6.750465549348231,43.34264432029795
Guilford County,11905,9.865005192107995,40.08307372793354
Guilford County,12503,5.089485458612975,28.747203579418343
Guilford County,12504,4.703161141094834,36.39167309175019
Guilford County,12505,0.4472843450479233,24.089456869009584
Guilford County,12508,2.1861777150916786,21.227080394922424
Guilford County,12509,1.2875536480686696,25.751072961373392
Guilford County,12510,1.4234875444839856,27.54448398576513
Guilford County,12511,0.0,32.34323432343234
Guilford County,12604,18.729747245625404,54.37459494491251
Guilford County,12607,3.098106712564544,31.32530120481928
Guilford County,12608,23.67312552653749,57.28727885425442
Guilford County,12610,6.660823838737949,48.72918492550394
Guilford County,12611,8.565072302558399,31.25695216907675
Guilford County,12612,5.628517823639775,28.06754221388368
Guilford County,12617,4.820095044127631,44.46707399864223
Guilford County,12618,12.299465240641712,48.22557122022363
Guilford County,12619,15.058324496288442,46.60657476139979
Guilford County,12620,6.389088298636038,43.35965541995693
Guilford County,12621,4.567180031864047,41.688794476898565
Guilford County,12703,15.358361774744028,52.41345685031692
Guilford County,12704,26.853707414829657,50.70140280561122
Guilford County,12705,8.349641226353555,43.63992172211351
Guilford County,12706,7.792207792207792,36.91045796308954
Guilford County,12707,15.392061955469508,56.82478218780252
Guilford County,12803,5.970571590265988,31.86191284663271
Guilford County,12804,6.653123412899949,43.0675469781615
Guilford County,12805,3.342816500711238,25.248933143669987
Guilford County,13601,4.460093896713615,27.934272300469484
Guilford County,13602,5.72851805728518,37.110834371108346
Guilford County,13700,1.1940298507462688,17.55223880597015
Guilford County,13800,24.47089947089947,56.34920634920635
Guilford County,13900,47.96954314720812,69.44162436548223
Guilford County,14000,15.650591446769791,52.59326660600546
Guilford County,14200,7.11139081183134,49.40213971050976
Guilford County,14300,15.934065934065933,67.21611721611721
Guilford County,14406,2.3701002734731085,20.875113947128533
Guilford County,14407,2.360944377751101,16.366546618647458
Guilford County,14408,0.2770083102493075,60.20313942751616
Guilford County,14409,7.183908045977011,26.79597701149425
Guilford County,14410,6.613594611145132,38.45682792406613
Guilford County,14411,20.634920634920636,40.997732426303855
Guilford County,14412,5.492424242424242,41.38257575757576
Guilford County,14501,12.554112554112551,51.731601731601735
Guilford County,14502,4.249596557288865,51.15653577192039
Guilford County,14503,14.850686037126714,59.40274414850686
Guilford County,15100,0.9387351778656126,25.98814229249012
Guilford County,15201,9.23936398796734,35.15255694026644
Guilford County,15202,1.6291698991466252,35.027152831652444
Guilford County,15301,2.71408516612073,18.624239588207768
Guilford County,15302,2.765237020316027,30.4176072234763
Guilford County,15401,0.6686167989970748,35.64563309653155
Guilford County,15402,7.888040712468193,36.78662304616503
Guilford County,15500,1.4497528830313016,20.16474464579901
Guilford County,15601,0.0,27.43097238895558
Guilford County,15602,0.0,28.95397489539749
Guilford County,15703,4.142441860465116,40.3343023255814
Guilford County,15704,7.656362329259525,22.753414809489577
Guilford County,15705,3.985507246376811,18.84057971014493
Guilford County,15706,2.781041911476694,27.45789267528398
Guilford County,15707,1.13544201135442,23.195458231954586
Guilford County,15800,1.4174822814714816,18.629767127910903
Guilford County,15901,5.013673655423884,21.10300820419325
Guilford County,15902,2.4348810872027182,21.857304643261607
Guilford County,16003,0.0,28.43631778058008
Guilford County,16005,0.0,43.853427895981085
Guilford County,16006,4.879448909299656,39.55223880597015
Guilford County,16007,1.2417218543046358,29.0976821192053
Guilford County,16008,0.5704099821746881,34.29590017825312
Guilford County,16009,0.0,18.64525139664805
Guilford County,16010,4.623415361670396,27.889634601044
Guilford County,16011,7.851954341058458,29.02109996540989
Guilford County,16101,14.564052605942525,21.870433511933754
Guilford County,16102,7.788944723618091,25.22613065326633
Guilford County,16103,8.69042851421706,44.33319983980777
Guilford County,16201,0.7584376185058779,31.28555176336746
Guilford County,16203,2.7244305493523897,19.606967396159
Guilford County,16204,0.4845548152634766,35.67534827377347
Guilford County,16205,7.872219053051912,34.455219623502565
Guilford County,16303,2.0408163265306123,15.602369980250163
Guilford County,16304,3.9292730844793713,33.66077275703995
Guilford County,16305,1.1914217633042097,33.439237490071484
Guilford County,16306,4.791830322073841,22.859387274155537
Guilford County,16405,7.168037602820212,19.85898942420681
Guilford County,16406,0.8890770533446233,31.79508890770533
Guilford County,16407,0.4357298474945534,29.90196078431373
Guilford County,16408,1.7266187050359711,31.510791366906474
Guilford County,16409,0.396039603960396,14.257425742574258
