City,lat,lon
Graham,36.058333,-79.388889
Taylorsville,35.9111,-81.1991
Sparta,36.503333,-81.121667
Jefferson,36.4201,-81.4684
Newland,36.088056,-81.927222
Morganton,35.740833,-81.700278
Lenoir,35.914,-81.5389
Yanceyville,36.409722,-79.336111
Newton,35.6841,-81.2519
Pittsboro,35.7214,-79.177
Lexington,35.797222,-80.274167
Mocksville,35.9005,-80.5886
Winston-Salem,36.102778,-80.260833
Greensboro,36.095,-79.825833
Statesville,35.7831,-80.889
Bakersville,36.0155,-82.1583
Hillsborough,36.0784,-79.1008
Asheboro,35.7079,-79.8136
Wentworth,36.391389,-79.751111
Salisbury,35.6695,-80.4742
Danbury,36.4019,-80.1944
Mount Airy,36.4993,-80.6073
Boone,36.2168,-81.6746
Wilkesboro,36.1425,-81.175
Yadkinville,36.1346,-80.6584
