NAME,Total Households,Total Households with No Vehicle Available,Total Households with 1 Vehicle Available,Total Households with 2 Vehicles Available,Total Households with 3 Vehicles Available,Total Households with 4 or More Vehicles Available,Total 1-Person Households,1-Person Households with No Vehicle Available,1-Person Households with 1 Vehicle Available,1-Person Households with 2 Vehicles Available,1-Person Households with 3 Vehicles Available,1-Person Households with 4 or More Vehicles Available,Total 2-Person Households,2-Person Households with No Vehicle Available,2-Person Households with 1 Vehicle Available,2-Person Households with 2 Vehicles Available,2-Person Households with 3 Vehicles Available,2-Person Households with 4 or More Vehicles Available,Total 3-Person Households,3-Person Households with No Vehicle Available,3-Person Households with 1 Vehicle Available,3-Person Households with 2 Vehicles Available,3-Person Households with 3 Vehicles Available,3-Person Households with 4 or More Vehicles Available,Total 4-or-More-Person Households,4-or-More-Person Households with No Vehicle Available,4-or-More-Person Households with 1 Vehicle Available,4-or-More-Person Households with 2 Vehicles Available,4-or-More-Person Households with 3 Vehicles Available,state,county,tract,Census Tract,County,pct_no_vehicle,pct_fewer_vehicles
Census Tract 111.02; Guilford County; North Carolina,1015.0,72.0,280.0,381.0,182.0,100.0,221.0,19.0,91.0,66.0,45.0,0.0,448.0,53.0,85.0,127.0,108.0,75.0,113.0,0.0,51.0,47.0,0.0,15.0,233.0,0.0,53.0,141.0,29.0,37,081,011102,111.02,Guilford County,7.093596059113301,44.23645320197044
Census Tract 112.01; Guilford County; North Carolina,1196.0,347.0,427.0,274.0,135.0,13.0,659.0,258.0,324.0,77.0,0.0,0.0,245.0,37.0,11.0,152.0,45.0,0.0,211.0,34.0,64.0,10.0,90.0,13.0,81.0,18.0,28.0,35.0,0.0,37,081,011201,112.01,Guilford County,29.013377926421402,41.38795986622073
Census Tract 112.02; Guilford County; North Carolina,1301.0,191.0,593.0,391.0,56.0,70.0,492.0,29.0,281.0,182.0,0.0,0.0,371.0,138.0,89.0,88.0,20.0,36.0,166.0,24.0,53.0,53.0,36.0,0.0,272.0,0.0,170.0,68.0,0.0,37,081,011202,112.02,Guilford County,14.681014604150652,47.96310530361261
Census Tract 113; Guilford County; North Carolina,1747.0,150.0,1061.0,403.0,120.0,13.0,818.0,107.0,698.0,0.0,13.0,0.0,517.0,43.0,256.0,196.0,12.0,10.0,118.0,0.0,19.0,73.0,23.0,3.0,294.0,0.0,88.0,134.0,72.0,37,081,011300,113,Guilford County,8.586147681740126,41.213508872352605
Census Tract 114; Guilford County; North Carolina,1984.0,585.0,622.0,385.0,352.0,40.0,672.0,224.0,341.0,107.0,0.0,0.0,478.0,122.0,210.0,52.0,94.0,0.0,148.0,23.0,50.0,10.0,65.0,0.0,686.0,216.0,21.0,216.0,193.0,37,081,011400,114,Guilford County,29.485887096774192,55.04032258064516
Census Tract 115; Guilford County; North Carolina,1156.0,207.0,467.0,286.0,135.0,61.0,361.0,99.0,248.0,14.0,0.0,0.0,347.0,33.0,122.0,149.0,0.0,43.0,238.0,75.0,0.0,70.0,84.0,9.0,210.0,0.0,97.0,53.0,51.0,37,081,011500,115,Guilford County,17.906574394463668,47.49134948096886
Census Tract 116.01; Guilford County; North Carolina,1089.0,108.0,303.0,439.0,184.0,55.0,355.0,59.0,180.0,62.0,19.0,35.0,274.0,0.0,70.0,148.0,42.0,14.0,141.0,39.0,38.0,48.0,16.0,0.0,319.0,10.0,15.0,181.0,107.0,37,081,011601,116.01,Guilford County,9.917355371900827,42.24058769513315
Census Tract 116.02; Guilford County; North Carolina,1038.0,120.0,433.0,238.0,198.0,49.0,520.0,86.0,336.0,30.0,68.0,0.0,309.0,34.0,48.0,125.0,80.0,22.0,80.0,0.0,22.0,40.0,18.0,0.0,129.0,0.0,27.0,43.0,32.0,37,081,011602,116.02,Guilford County,11.560693641618498,28.90173410404624
Census Tract 119.04; Guilford County; North Carolina,2148.0,145.0,907.0,814.0,177.0,105.0,770.0,124.0,493.0,153.0,0.0,0.0,474.0,21.0,97.0,289.0,67.0,0.0,393.0,0.0,135.0,207.0,10.0,41.0,511.0,0.0,182.0,165.0,100.0,37,081,011904,119.04,Guilford County,6.750465549348231,43.34264432029795
Census Tract 119.05; Guilford County; North Carolina,1926.0,190.0,636.0,531.0,464.0,105.0,455.0,41.0,272.0,120.0,22.0,0.0,529.0,77.0,152.0,193.0,107.0,0.0,501.0,60.0,154.0,11.0,200.0,76.0,441.0,12.0,58.0,207.0,135.0,37,081,011905,119.05,Guilford County,9.865005192107997,40.08307372793354
