NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,tract,County
Census Tract 220.02; Alamance County; North Carolina,4681.0,458.0,3.0,15.0,34.0,317.0,77.0,11.0,1.0,37,1,220.02,Alamance County
Census Tract 401; Alexander County; North Carolina,3255.0,643.0,96.0,159.0,81.0,243.0,56.0,0.0,8.0,37,3,401,Alexander County
Census Tract 402; Alexander County; North Carolina,3576.0,310.0,0.0,22.0,23.0,211.0,3.0,39.0,12.0,37,3,402,Alexander County
Census Tract 403; Alexander County; North Carolina,3355.0,536.0,0.0,68.0,122.0,241.0,49.0,29.0,27.0,37,3,403,Alexander County
Census Tract 404; Alexander County; North Carolina,6193.0,1030.0,111.0,99.0,20.0,370.0,320.0,57.0,53.0,37,3,404,Alexander County
Census Tract 405; Alexander County; North Carolina,6828.0,551.0,105.0,20.0,94.0,193.0,44.0,95.0,0.0,37,3,405,Alexander County
Census Tract 406; Alexander County; North Carolina,4842.0,529.0,54.0,0.0,138.0,303.0,34.0,0.0,0.0,37,3,406,Alexander County
Census Tract 407; Alexander County; North Carolina,6792.0,605.0,49.0,84.0,32.0,320.0,106.0,0.0,14.0,37,3,407,Alexander County
Census Tract 9501; Alleghany County; North Carolina,4267.0,775.0,91.0,51.0,74.0,356.0,68.0,95.0,40.0,37,5,9501,Alleghany County
Census Tract 9502; Alleghany County; North Carolina,3798.0,489.0,19.0,90.0,51.0,181.0,111.0,35.0,2.0,37,5,9502,Alleghany County
Census Tract 9503; Alleghany County; North Carolina,2905.0,643.0,92.0,71.0,73.0,259.0,55.0,39.0,54.0,37,5,9503,Alleghany County
Census Tract 9702; Ashe County; North Carolina,2529.0,148.0,10.0,10.0,0.0,42.0,49.0,28.0,9.0,37,9,9702,Ashe County
Census Tract 9703; Ashe County; North Carolina,2481.0,591.0,13.0,65.0,19.0,268.0,157.0,52.0,17.0,37,9,9703,Ashe County
Census Tract 9704; Ashe County; North Carolina,4761.0,533.0,67.0,46.0,0.0,268.0,94.0,33.0,25.0,37,9,9704,Ashe County
Census Tract 9705.01; Ashe County; North Carolina,2796.0,372.0,26.0,29.0,0.0,178.0,130.0,9.0,0.0,37,9,9705.01,Ashe County
Census Tract 9705.02; Ashe County; North Carolina,2958.0,359.0,8.0,35.0,30.0,224.0,11.0,51.0,0.0,37,9,9705.02,Ashe County
Census Tract 9707.01; Ashe County; North Carolina,3816.0,309.0,0.0,0.0,0.0,254.0,55.0,0.0,0.0,37,9,9707.01,Ashe County
Census Tract 9707.02; Ashe County; North Carolina,2204.0,192.0,0.0,0.0,0.0,134.0,29.0,29.0,0.0,37,9,9707.02,Ashe County
Census Tract 9708.01; Ashe County; North Carolina,2285.0,599.0,39.0,18.0,13.0,427.0,53.0,38.0,11.0,37,9,9708.01,Ashe County
Census Tract 9708.02; Ashe County; North Carolina,2674.0,621.0,20.0,0.0,204.0,189.0,163.0,45.0,0.0,37,9,9708.02,Ashe County
Census Tract 9301; Avery County; North Carolina,2823.0,436.0,28.0,41.0,60.0,221.0,65.0,19.0,2.0,37,11,9301,Avery County
Census Tract 9302; Avery County; North Carolina,2909.0,170.0,5.0,0.0,6.0,85.0,56.0,4.0,14.0,37,11,9302,Avery County
Census Tract 9303.01; Avery County; North Carolina,3236.0,340.0,3.0,0.0,6.0,155.0,129.0,47.0,0.0,37,11,9303.01,Avery County
Census Tract 9303.02; Avery County; North Carolina,2835.0,570.0,51.0,24.0,50.0,319.0,112.0,14.0,0.0,37,11,9303.02,Avery County
Census Tract 9304; Avery County; North Carolina,3165.0,125.0,11.0,11.0,0.0,55.0,25.0,10.0,13.0,37,11,9304,Avery County
Census Tract 201; Burke County; North Carolina,4300.0,1503.0,61.0,271.0,21.0,1021.0,105.0,24.0,0.0,37,23,201,Burke County
Census Tract 202.02; Burke County; North Carolina,4327.0,818.0,0.0,267.0,160.0,324.0,49.0,0.0,18.0,37,23,202.02,Burke County
